timestamp;throughput
1;21.043
515;17.179
389;17.191
263;17.497
138;17.653
12;18.655
525;17.235
399;17.179
273;17.432
148;17.801
22;17.891
410;17.24
284;17.452
159;17.668
33;16.939
420;17.209
294;17.459
169;17.602
43;16.679
431;17.242
305;17.445
180;17.504
54;17.261
441;17.245
315;17.424
190;17.504
64;17.443
452;17.248
326;17.36
200;17.308
75;17.384
462;17.219
336;17.288
211;17.405
85;17.81
473;17.222
347;17.316
221;17.477
96;17.711
483;17.248
357;17.23
232;17.48
106;17.735
494;17.241
368;17.246
242;17.453
117;17.497
504;17.232
378;17.214
252;17.541
127;17.632
timestamp;throughput
1;263.708
321;170.633
259;216.253
197;297.93
135;519.018
73;2320.952
393;138.594
11;1141.532
331;165.809
269;205.512
207;281.386
145;469.024
83;1378.573
403;135.62
21;1775.971
341;159.76
279;198.374
217;267.042
156;414.721
413;131.665
94;1058.512
351;155.544
32;2548.731
290;191.54
228;249.893
166;382.181
104;812.198
424;128.994
42;3412.795
362;150.201
300;183.324
238;238.376
176;346.349
114;693.725
434;125.568
52;3567.118
372;146.465
310;177.639
248;225.482
187;323.642
444;123.219
125;580.676
382;142.91
63;20.5
timestamp;throughput
64;19.629
1;0.0
451;41.129
388;44.828
326;50.017
263;58.617
201;71.294
138;95.648
75;158.502
12;0.0
399;44.077
336;48.869
274;57.174
211;68.806
148;90.795
85;154.815
22;22.171
409;43.473
346;48.059
284;55.182
221;66.047
159;85.153
96;134.775
33;19.176
420;42.686
357;47.085
294;54.001
232;64.288
169;81.223
106;124.077
43;19.785
430;42.233
367;46.426
305;52.566
242;61.912
180;76.858
117;110.446
54;20.135
441;41.639
378;45.512
315;51.093
253;60.427
190;74.626
127;103.305
timestamp;throughput
320;-1.0
1;658.4
258;-1.0
196;-1.0
134;-1.0
392;-1.0
73;16189.874
330;-1.0
11;3062.5
268;-1.0
206;-1.0
145;-1.0
402;-1.0
83;18739.557
340;-1.0
21;5015.975
278;-1.0
217;-1.0
155;-1.0
412;-1.0
93;19259.995
351;-1.0
32;7829.434
289;-1.0
227;-1.0
165;-1.0
103;20136.891
423;-1.0
361;-1.0
42;9942.577
299;-1.0
237;-1.0
176;-1.0
114;23156.8
371;-1.0
52;11818.286
309;-1.0
248;-1.0
186;-1.0
124;23738.352
381;-1.0
62;14183.268
