timestamp;latency
1;3.727
515;2.856
389;2.81
263;2.719
138;2.547
12;2.632
525;2.873
399;2.821
273;2.698
148;2.562
22;2.81
410;2.804
284;2.712
159;2.718
33;2.761
420;2.828
294;2.685
169;2.686
43;2.604
431;2.843
305;2.693
180;2.69
54;2.657
441;2.869
315;2.723
190;2.695
64;2.619
452;2.879
326;2.743
200;2.669
75;2.663
462;2.861
336;2.718
211;2.662
85;2.654
473;2.865
347;2.776
221;2.629
96;2.602
483;2.857
357;2.771
232;2.665
106;2.575
494;2.858
368;2.817
242;2.696
117;2.554
504;2.87
378;2.801
252;2.694
127;2.574
