timestamp;input
1;520.0
321;2860.0
259;1940.0
197;2800.0
135;2000.0
73;2240.0
393;2820.0
11;3260.0
331;2120.0
269;2940.0
207;2320.0
145;1940.0
83;2780.0
403;2080.0
21;2180.0
341;3120.0
279;2220.0
217;2320.0
156;2900.0
413;3060.0
94;2160.0
351;1960.0
32;2200.0
290;2060.0
228;2740.0
166;1920.0
104;2740.0
424;2160.0
42;3120.0
362;2960.0
300;3040.0
238;2220.0
176;2860.0
114;2160.0
434;2800.0
52;440.0
372;2080.0
310;2240.0
248;2840.0
187;2220.0
444;1860.0
125;3240.0
382;2320.0
63;2000.0
