timestamp;input
64;1200.0
1;0.0
451;1480.0
388;1180.0
326;1240.0
263;1420.0
201;1380.0
138;1580.0
75;1540.0
12;0.0
399;1420.0
336;1800.0
274;1180.0
211;1220.0
148;1200.0
85;920.0
22;1220.0
409;1140.0
346;1060.0
284;2120.0
221;1600.0
159;1480.0
96;1600.0
33;1400.0
420;1620.0
357;1560.0
294;1120.0
232;1120.0
169;1120.0
106;1140.0
43;1200.0
430;1240.0
367;1180.0
305;1600.0
242;1560.0
180;1440.0
117;2040.0
54;1840.0
441;1780.0
378;1660.0
315;2000.0
253;1020.0
190;1020.0
127;1140.0
