timestamp;actions
64;keySensitiveBolt@1.0:
1;keySensitiveBolt@1.0:
451;keySensitiveBolt@1.0:
388;keySensitiveBolt@1.0:
326;keySensitiveBolt@1.0:
263;keySensitiveBolt@1.0:
201;keySensitiveBolt@1.0:
138;keySensitiveBolt@1.0:
75;keySensitiveBolt@1.0:
12;keySensitiveBolt@1.0:
399;keySensitiveBolt@1.0:
336;keySensitiveBolt@1.0:
274;keySensitiveBolt@1.0:
211;keySensitiveBolt@1.0:
148;keySensitiveBolt@1.0:
85;keySensitiveBolt@1.0:
22;keySensitiveBolt@1.0:
409;keySensitiveBolt@1.0:
346;keySensitiveBolt@1.0:
284;keySensitiveBolt@1.0:
221;keySensitiveBolt@1.0:
159;keySensitiveBolt@1.0:
96;keySensitiveBolt@1.0:
33;keySensitiveBolt@1.0:
420;keySensitiveBolt@1.0:
357;keySensitiveBolt@1.0:
294;keySensitiveBolt@1.0:
232;keySensitiveBolt@1.0:
169;keySensitiveBolt@1.0:
106;keySensitiveBolt@1.0:
43;keySensitiveBolt@1.0:
430;keySensitiveBolt@1.0:
367;keySensitiveBolt@1.0:
305;keySensitiveBolt@1.0:
242;keySensitiveBolt@1.0:
180;keySensitiveBolt@1.0:
117;keySensitiveBolt@1.0:
54;keySensitiveBolt@1.0:
441;keySensitiveBolt@1.0:
378;keySensitiveBolt@1.0:
315;keySensitiveBolt@1.0:
253;keySensitiveBolt@1.0:
190;keySensitiveBolt@1.0:
127;keySensitiveBolt@1.0:
