"timestamp";"host";"port";"topology";"component";"start_task";"end_task";"outputs";"throughput";"losses";"complete_ms_avg"
"48";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"200";"95";"0";"16.73"
"50";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"200";"95";"0";"16.73"
"52";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"200";"95";"0";"16.73"
"54";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"200";"95";"0";"16.73"
"56";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"200";"95";"0";"16.73"
"62";"roland-spg";"6702";"heatwave-1-1467759245";"source";"25";"32";"448";"220";"0";"12.458"
"64";"roland-spg";"6702";"heatwave-1-1467759245";"source";"25";"32";"448";"220";"0";"12.458"
"66";"roland-spg";"6702";"heatwave-1-1467759245";"source";"25";"32";"448";"220";"0";"12.458"
"79";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"508";"250";"0";"12.256"
"81";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"508";"250";"0";"12.256"
"83";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"508";"250";"0";"12.256"
"85";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"508";"250";"0";"12.256"
"87";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"508";"250";"0";"12.256"
"90";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"508";"250";"0";"12.256"
"92";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"508";"250";"0";"12.256"
"95";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"508";"250";"0";"12.256"
"97";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"508";"250";"0";"12.256"
"109";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"268";"130";"0";"957.103"
"111";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"268";"130";"0";"957.103"
"113";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"268";"130";"0";"957.103"
"115";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"268";"130";"0";"957.103"
"117";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"268";"130";"0";"957.103"
"119";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"544";"266";"0";"478.244"
"121";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"544";"266";"0";"478.244"
"123";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"544";"266";"0";"478.244"
"125";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"544";"266";"0";"478.244"
"127";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"544";"266";"0";"478.244"
"130";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"772";"382";"0";"336.782"
"132";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"772";"382";"0";"336.782"
"134";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"772";"382";"0";"336.782"
"136";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"772";"382";"0";"336.782"
"138";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"772";"382";"0";"336.782"
"140";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1012";"502";"0";"262.902"
"142";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1012";"502";"0";"262.902"
"144";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1012";"502";"0";"262.902"
"146";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1012";"502";"0";"262.902"
"148";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1012";"502";"0";"262.902"
"150";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1368";"680";"0";"196.912"
"153";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1368";"680";"0";"196.912"
"155";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1368";"680";"0";"196.912"
"157";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1368";"680";"0";"196.912"
"159";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1368";"680";"0";"196.912"
"161";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1672";"828";"0";"164.366"
"163";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1672";"828";"0";"164.366"
"165";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1672";"828";"0";"164.366"
"167";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1672";"828";"0";"164.366"
"169";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"1672";"828";"0";"164.366"
"171";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"2110";"1047";"0";"132.165"
"173";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"2110";"1047";"0";"132.165"
"176";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"2110";"1047";"0";"132.165"
"178";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"2110";"1047";"0";"132.165"
"180";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"2474";"1229";"0";"114.245"
"182";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"2474";"1229";"0";"114.245"
"184";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"2474";"1229";"0";"114.245"
"186";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"2474";"1229";"0";"114.245"
"188";"roland-spg";"6704";"heatwave-1-1467759245";"source";"25";"32";"2474";"1229";"0";"114.245"
