"timestamp";"host";"port";"topology";"component";"start_task";"end_task";"outputs";"throughput";"losses";"complete_ms_avg"
"113";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"36";"10";"0";"63.444"
"115";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"36";"10";"0";"63.444"
"117";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"36";"10";"0";"63.444"
"119";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"36";"10";"0";"63.444"
"121";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"36";"10";"0";"63.444"
"123";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"216";"100";"0";"16.235"
"125";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"216";"100";"0";"16.235"
"127";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"216";"100";"0";"16.235"
"129";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"216";"100";"0";"16.235"
"132";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"216";"100";"0";"16.235"
"134";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"396";"190";"0";"12.714"
"136";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"396";"190";"0";"12.714"
"138";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"396";"190";"0";"12.714"
"140";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"396";"190";"0";"12.714"
"142";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"396";"190";"0";"12.714"
"144";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"636";"310";"0";"11.089"
"146";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"636";"310";"0";"11.089"
"148";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"636";"310";"0";"11.089"
"150";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"636";"310";"0";"11.089"
"152";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"636";"310";"0";"11.089"
"154";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"824";"400";"0";"10.597"
"156";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"824";"400";"0";"10.597"
"158";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"824";"400";"0";"10.597"
"160";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"824";"400";"0";"10.597"
"162";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"824";"400";"0";"10.597"
"164";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"1004";"490";"0";"10.117"
"166";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"1004";"490";"0";"10.117"
"168";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"1004";"490";"0";"10.117"
"170";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"1004";"490";"0";"10.117"
"172";"roland-spg";"6704";"heatwave-1-1467765206";"source";"25";"32";"1004";"490";"0";"10.117"
