"timestamp";"topology";"status"
"0";"heatwave-1-1467765206";"ACTIVE"
"2";"heatwave-1-1467765206";"ACTIVE"
"4";"heatwave-1-1467765206";"ACTIVE"
"6";"heatwave-1-1467765206";"ACTIVE"
"8";"heatwave-1-1467765206";"ACTIVE"
"10";"heatwave-1-1467765206";"ACTIVE"
"12";"heatwave-1-1467765206";"ACTIVE"
"14";"heatwave-1-1467765206";"ACTIVE"
"16";"heatwave-1-1467765206";"ACTIVE"
"18";"heatwave-1-1467765206";"ACTIVE"
"20";"heatwave-1-1467765206";"ACTIVE"
"22";"heatwave-1-1467765206";"ACTIVE"
"24";"heatwave-1-1467765206";"ACTIVE"
"27";"heatwave-1-1467765206";"ACTIVE"
"29";"heatwave-1-1467765206";"ACTIVE"
"31";"heatwave-1-1467765206";"ACTIVE"
"33";"heatwave-1-1467765206";"ACTIVE"
"42";"heatwave-1-1467765206";"ACTIVE"
"52";"heatwave-1-1467765206";"ACTIVE"
"62";"heatwave-1-1467765206";"ACTIVE"
"73";"heatwave-1-1467765206";"ACTIVE"
"83";"heatwave-1-1467765206";"ACTIVE"
"93";"heatwave-1-1467765206";"ACTIVE"
"103";"heatwave-1-1467765206";"ACTIVE"
"113";"heatwave-1-1467765206";"ACTIVE"
"115";"heatwave-1-1467765206";"ACTIVE"
"117";"heatwave-1-1467765206";"ACTIVE"
"119";"heatwave-1-1467765206";"ACTIVE"
"121";"heatwave-1-1467765206";"ACTIVE"
"123";"heatwave-1-1467765206";"ACTIVE"
"125";"heatwave-1-1467765206";"ACTIVE"
"127";"heatwave-1-1467765206";"ACTIVE"
"129";"heatwave-1-1467765206";"ACTIVE"
"132";"heatwave-1-1467765206";"ACTIVE"
"134";"heatwave-1-1467765206";"ACTIVE"
"136";"heatwave-1-1467765206";"ACTIVE"
"138";"heatwave-1-1467765206";"ACTIVE"
"140";"heatwave-1-1467765206";"ACTIVE"
"142";"heatwave-1-1467765206";"ACTIVE"
"144";"heatwave-1-1467765206";"ACTIVE"
"146";"heatwave-1-1467765206";"ACTIVE"
"148";"heatwave-1-1467765206";"ACTIVE"
"150";"heatwave-1-1467765206";"ACTIVE"
"152";"heatwave-1-1467765206";"ACTIVE"
"154";"heatwave-1-1467765206";"ACTIVE"
"156";"heatwave-1-1467765206";"ACTIVE"
"158";"heatwave-1-1467765206";"ACTIVE"
"160";"heatwave-1-1467765206";"ACTIVE"
"162";"heatwave-1-1467765206";"ACTIVE"
"164";"heatwave-1-1467765206";"ACTIVE"
"166";"heatwave-1-1467765206";"ACTIVE"
"168";"heatwave-1-1467765206";"ACTIVE"
"170";"heatwave-1-1467765206";"ACTIVE"
"172";"heatwave-1-1467765206";"ACTIVE"
"174";"heatwave-1-1467765206";"ACTIVE"
"177";"heatwave-1-1467765206";"ACTIVE"
"179";"heatwave-1-1467765206";"ACTIVE"
"181";"heatwave-1-1467765206";"ACTIVE"
"183";"heatwave-1-1467765206";"ACTIVE"
"185";"heatwave-1-1467765206";"ACTIVE"
"187";"heatwave-1-1467765206";"ACTIVE"
"189";"heatwave-1-1467765206";"ACTIVE"
"191";"heatwave-1-1467765206";"ACTIVE"
"193";"heatwave-1-1467765206";"ACTIVE"
"195";"heatwave-1-1467765206";"ACTIVE"
"197";"heatwave-1-1467765206";"ACTIVE"
"199";"heatwave-1-1467765206";"ACTIVE"
"201";"heatwave-1-1467765206";"ACTIVE"
"203";"heatwave-1-1467765206";"ACTIVE"
"205";"heatwave-1-1467765206";"ACTIVE"
"207";"heatwave-1-1467765206";"ACTIVE"
"209";"heatwave-1-1467765206";"ACTIVE"
"211";"heatwave-1-1467765206";"ACTIVE"
"213";"heatwave-1-1467765206";"ACTIVE"
"215";"heatwave-1-1467765206";"ACTIVE"
"217";"heatwave-1-1467765206";"ACTIVE"
"219";"heatwave-1-1467765206";"ACTIVE"
"222";"heatwave-1-1467765206";"ACTIVE"
"224";"heatwave-1-1467765206";"ACTIVE"
"226";"heatwave-1-1467765206";"ACTIVE"
"228";"heatwave-1-1467765206";"ACTIVE"
"230";"heatwave-1-1467765206";"ACTIVE"
"232";"heatwave-1-1467765206";"ACTIVE"
