"timestamp";"host";"port";"topology";"component";"start_task";"end_task";"outputs";"throughput";"losses";"complete_ms_avg"
"63";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"208";"100";"0";"13.812"
"65";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"208";"100";"0";"13.812"
"67";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"208";"100";"0";"13.812"
"69";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"208";"100";"0";"13.812"
"71";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"208";"100";"0";"13.812"
"77";"roland-spg";"6702";"heatwave-1-1467757781";"source";"25";"32";"448";"220";"0";"11.029"
"79";"roland-spg";"6702";"heatwave-1-1467757781";"source";"25";"32";"448";"220";"0";"11.029"
"82";"roland-spg";"6702";"heatwave-1-1467757781";"source";"25";"32";"448";"220";"0";"11.029"
"124";"roland-spg";"6702";"heatwave-1-1467757781";"source";"25";"32";"392";"192";"0";"128.636"
"126";"roland-spg";"6702";"heatwave-1-1467757781";"source";"25";"32";"392";"192";"0";"128.636"
"128";"roland-spg";"6702";"heatwave-1-1467757781";"source";"25";"32";"392";"192";"0";"128.636"
"130";"roland-spg";"6702";"heatwave-1-1467757781";"source";"25";"32";"392";"192";"0";"128.636"
"132";"roland-spg";"6702";"heatwave-1-1467757781";"source";"25";"32";"392";"192";"0";"128.636"
"134";"roland-spg";"6702";"heatwave-1-1467757781";"source";"25";"32";"1314";"652";"0";"47.68"
"138";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"1314";"652";"0";"47.68"
"140";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"1314";"652";"0";"47.68"
"143";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"1314";"652";"0";"47.68"
"197";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"1650";"817";"0";"358.668"
"199";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"1650";"817";"0";"358.668"
"201";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"1650";"817";"0";"358.668"
"203";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"1650";"817";"0";"358.668"
"205";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"1650";"817";"0";"358.668"
"207";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"5184";"2587";"0";"126.609"
"209";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"5184";"2587";"0";"126.609"
"211";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"5184";"2587";"0";"126.609"
"213";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"5184";"2587";"0";"126.609"
"216";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"5184";"2587";"0";"126.609"
"218";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"10096";"5042";"0";"71.727"
"220";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"10096";"5042";"0";"71.727"
"222";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"10096";"5042";"0";"71.727"
"224";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"10096";"5042";"0";"71.727"
"226";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"10096";"5042";"0";"71.727"
"228";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"14202";"7096";"0";"55.502"
"230";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"14202";"7096";"0";"55.502"
"232";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"14202";"7096";"0";"55.502"
"234";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"14202";"7096";"0";"55.502"
"237";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"14202";"7096";"0";"55.502"
"239";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"19938";"9963";"0";"46.268"
"241";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"19938";"9963";"0";"46.268"
"244";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"19938";"9963";"0";"46.268"
"246";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"19938";"9963";"0";"46.268"
"249";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"24736";"12360";"0";"43.063"
"251";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"24736";"12360";"0";"43.063"
"253";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"24736";"12360";"0";"43.063"
"255";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"24736";"12360";"0";"43.063"
"258";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"24736";"12360";"0";"43.063"
"261";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"29536";"14759";"0";"41.896"
"263";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"29536";"14759";"0";"41.896"
"265";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"29536";"14759";"0";"41.896"
"267";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"29536";"14759";"0";"41.896"
"269";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"29536";"14759";"0";"41.896"
"271";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"38980";"19480";"0";"53.55"
"273";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"38980";"19480";"0";"53.55"
"275";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"38980";"19480";"0";"53.55"
"278";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"38980";"19480";"0";"53.55"
"280";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"38980";"19480";"0";"53.55"
"282";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"44110";"22045";"0";"50.779"
"284";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"44110";"22045";"0";"50.779"
"286";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"44110";"22045";"0";"50.779"
"288";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"44110";"22045";"0";"50.779"
"290";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"44110";"22045";"0";"50.779"
"292";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"50496";"25237";"0";"46.236"
"295";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"50496";"25237";"0";"46.236"
"297";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"50496";"25237";"0";"46.236"
"299";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"50496";"25237";"0";"46.236"
"301";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"50496";"25237";"0";"46.236"
"303";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"59158";"29566";"0";"41.214"
"305";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"59158";"29566";"0";"41.214"
"307";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"59158";"29566";"0";"41.214"
"309";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"59158";"29566";"0";"41.214"
"311";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"65189";"32555";"24";"38.442"
"313";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"65189";"32555";"24";"38.442"
"316";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"65189";"32555";"24";"38.442"
"318";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"65189";"32555";"24";"38.442"
"320";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"65189";"32555";"24";"38.442"
"322";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"71570";"35748";"24";"36.007"
"324";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"71570";"35748";"24";"36.007"
"326";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"71570";"35748";"24";"36.007"
"328";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"71570";"35748";"24";"36.007"
"330";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"71570";"35748";"24";"36.007"
"332";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"81830";"40871";"24";"32.887"
"334";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"81830";"40871";"24";"32.887"
"337";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"81830";"40871";"24";"32.887"
"339";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"81830";"40871";"24";"32.887"
"341";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"81830";"40871";"24";"32.887"
"343";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"88556";"44240";"24";"31.895"
"345";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"88556";"44240";"24";"31.895"
"347";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"88556";"44240";"24";"31.895"
"350";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"88556";"44240";"24";"31.895"
"352";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"96030";"47974";"24";"30.576"
"354";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"96030";"47974";"24";"30.576"
"357";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"96030";"47974";"24";"30.576"
"359";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"96030";"47974";"24";"30.576"
"361";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"96030";"47974";"24";"30.576"
"363";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"106078";"52995";"24";"29.26"
"365";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"106078";"52995";"24";"29.26"
"367";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"106078";"52995";"24";"29.26"
"369";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"106078";"52995";"24";"29.26"
"371";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"106078";"52995";"24";"29.26"
"373";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"114240";"57074";"24";"28.017"
"375";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"114240";"57074";"24";"28.017"
"377";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"114240";"57074";"24";"28.017"
"380";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"114240";"57074";"24";"28.017"
"382";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"114240";"57074";"24";"28.017"
"384";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"125998";"62951";"24";"26.429"
"386";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"125998";"62951";"24";"26.429"
"388";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"125998";"62951";"24";"26.429"
"390";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"125998";"62951";"24";"26.429"
"392";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"125998";"62951";"24";"26.429"
"394";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"134298";"67106";"24";"25.523"
"396";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"134298";"67106";"24";"25.523"
"398";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"134298";"67106";"24";"25.523"
"400";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"134298";"67106";"24";"25.523"
"403";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"134298";"67106";"24";"25.523"
"405";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"142368";"71142";"24";"24.686"
"407";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"142368";"71142";"24";"24.686"
"409";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"142368";"71142";"24";"24.686"
"411";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"142368";"71142";"24";"24.686"
"413";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"154208";"77054";"24";"23.631"
"415";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"154208";"77054";"24";"23.631"
"417";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"154208";"77054";"24";"23.631"
"419";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"154208";"77054";"24";"23.631"
"421";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"154208";"77054";"24";"23.631"
"423";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"162680";"81294";"24";"22.961"
"426";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"162680";"81294";"24";"22.961"
"428";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"162680";"81294";"24";"22.961"
"430";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"162680";"81294";"24";"22.961"
"436";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"162680";"81294";"24";"22.961"
"438";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"171350";"85596";"56";"22.342"
"444";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"171350";"85596";"56";"22.342"
"446";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"171350";"85596";"56";"22.342"
"448";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"180536";"90140";"56";"40.958"
"450";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"180536";"90140";"56";"40.958"
"452";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"180536";"90140";"56";"40.958"
"454";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"180536";"90140";"56";"40.958"
"456";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"180536";"90140";"56";"40.958"
"458";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"188904";"94372";"56";"40.073"
"461";"roland-spg";"6704";"heatwave-1-1467757781";"source";"25";"32";"188904";"94372";"56";"40.073"
