"timestamp";"host";"port";"topology";"component";"start_task";"end_task";"outputs";"throughput";"losses";"complete_ms_avg"
"31";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"92";"40";"0";"804.912"
"33";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"92";"40";"0";"804.912"
"35";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"92";"40";"0";"804.912"
"37";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"92";"40";"0";"804.912"
"39";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"92";"40";"0";"804.912"
"42";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"288";"140";"0";"241.835"
"44";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"288";"140";"0";"241.835"
"46";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"288";"140";"0";"241.835"
"48";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"288";"140";"0";"241.835"
"50";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"288";"140";"0";"241.835"
"52";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"468";"230";"0";"151.476"
"54";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"468";"230";"0";"151.476"
"56";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"468";"230";"0";"151.476"
"58";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"468";"230";"0";"151.476"
"60";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"468";"230";"0";"151.476"
"62";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"708";"350";"0";"102.369"
"64";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"708";"350";"0";"102.369"
"66";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"708";"350";"0";"102.369"
"68";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"708";"350";"0";"102.369"
"70";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"708";"350";"0";"102.369"
"72";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"888";"440";"0";"83.911"
"74";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"888";"440";"0";"83.911"
"76";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"888";"440";"0";"83.911"
"78";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"888";"440";"0";"83.911"
"80";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"888";"440";"0";"83.911"
"83";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"1068";"530";"0";"71.971"
"85";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"1068";"530";"0";"71.971"
"87";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"1068";"530";"0";"71.971"
"89";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"1068";"530";"0";"71.971"
"91";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"1068";"530";"0";"71.971"
"93";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"1496";"740";"0";"54.589"
"95";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"1496";"740";"0";"54.589"
"97";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"1496";"740";"0";"54.589"
"99";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"1496";"740";"0";"54.589"
"101";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"1496";"740";"0";"54.589"
"103";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"2186";"1085";"0";"39.752"
"105";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"2186";"1085";"0";"39.752"
"107";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"2186";"1085";"0";"39.752"
"109";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"2186";"1085";"0";"39.752"
"111";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"2186";"1085";"0";"39.752"
"113";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"3204";"1594";"0";"29.401"
"115";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"3204";"1594";"0";"29.401"
"117";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"3204";"1594";"0";"29.401"
"119";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"3204";"1594";"0";"29.401"
"121";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"5054";"2518";"0";"21.462"
"123";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"5054";"2518";"0";"21.462"
"126";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"5054";"2518";"0";"21.462"
"128";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"5054";"2518";"0";"21.462"
"130";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"5054";"2518";"0";"21.462"
"132";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"6786";"3384";"0";"17.672"
"134";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"6786";"3384";"0";"17.672"
"136";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"6786";"3384";"0";"17.672"
"138";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"6786";"3384";"0";"17.672"
"140";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"6786";"3384";"0";"17.672"
"142";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"8940";"4462";"0";"15.126"
"144";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"8940";"4462";"0";"15.126"
"146";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"8940";"4462";"0";"15.126"
"148";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"8940";"4462";"0";"15.126"
"150";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"8940";"4462";"0";"15.126"
"152";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"12190";"6074";"8";"12.996"
"154";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"12190";"6074";"8";"12.996"
"156";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"12190";"6074";"8";"12.996"
"158";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"12190";"6074";"8";"12.996"
"160";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"12190";"6074";"8";"12.996"
"162";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"15190";"7575";"8";"11.796"
"164";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"15190";"7575";"8";"11.796"
"166";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"15190";"7575";"8";"11.796"
"168";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"15190";"7575";"8";"11.796"
"170";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"15190";"7575";"8";"11.796"
"172";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"18360";"9158";"8";"11.064"
"175";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"18360";"9158";"8";"11.064"
"177";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"18360";"9158";"8";"11.064"
"179";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"18360";"9158";"8";"11.064"
"181";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"18360";"9158";"8";"11.064"
"183";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"22938";"11447";"8";"10.325"
"185";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"22938";"11447";"8";"10.325"
"187";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"22938";"11447";"8";"10.325"
"189";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"22938";"11447";"8";"10.325"
"191";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"22938";"11447";"8";"10.325"
"193";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"26354";"13156";"8";"9.918"
"195";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"26354";"13156";"8";"9.918"
"197";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"26354";"13156";"8";"9.918"
"199";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"26354";"13156";"8";"9.918"
"201";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"26354";"13156";"8";"9.918"
"203";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"30078";"15014";"8";"9.639"
"205";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"30078";"15014";"8";"9.639"
"207";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"30078";"15014";"8";"9.639"
"209";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"30078";"15014";"8";"9.639"
"211";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"30078";"15014";"8";"9.639"
"213";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"37140";"18543";"8";"9.331"
"215";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"37140";"18543";"8";"9.331"
"217";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"37140";"18543";"8";"9.331"
"219";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"37140";"18543";"8";"9.331"
"222";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"37140";"18543";"8";"9.331"
"224";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"42002";"20976";"8";"9.155"
"226";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"42002";"20976";"8";"9.155"
"228";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"42002";"20976";"8";"9.155"
"230";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"42002";"20976";"8";"9.155"
"232";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"42002";"20976";"8";"9.155"
"234";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"46583";"23265";"8";"8.999"
"236";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"46583";"23265";"8";"8.999"
"238";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"46583";"23265";"8";"8.999"
"240";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"46583";"23265";"8";"8.999"
"242";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"46583";"23265";"8";"8.999"
"244";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"54768";"27356";"8";"9.006"
"246";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"54768";"27356";"8";"9.006"
"248";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"54768";"27356";"8";"9.006"
"250";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"54768";"27356";"8";"9.006"
"252";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"54768";"27356";"8";"9.006"
"254";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"60466";"30207";"8";"8.955"
"256";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"60466";"30207";"8";"8.955"
"258";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"60466";"30207";"8";"8.955"
"260";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"60466";"30207";"8";"8.955"
"262";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"60466";"30207";"8";"8.955"
"264";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"67280";"33615";"8";"8.959"
"266";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"67280";"33615";"8";"8.959"
"268";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"67280";"33615";"8";"8.959"
"271";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"67280";"33615";"8";"8.959"
"273";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"67280";"33615";"8";"8.959"
"275";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"75422";"37657";"32";"8.887"
"277";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"75422";"37657";"32";"8.887"
"279";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"75422";"37657";"32";"8.887"
"281";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"75422";"37657";"32";"8.887"
"283";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"75422";"37657";"32";"8.887"
"285";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"81656";"40771";"32";"8.851"
"287";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"81656";"40771";"32";"8.851"
"289";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"81656";"40771";"32";"8.851"
"291";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"81656";"40771";"32";"8.851"
"293";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"88692";"44288";"32";"8.887"
"295";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"88692";"44288";"32";"8.887"
"297";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"88692";"44288";"32";"8.887"
"299";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"88692";"44288";"32";"8.887"
"301";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"88692";"44288";"32";"8.887"
"303";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"98896";"49394";"32";"8.984"
"305";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"98896";"49394";"32";"8.984"
"307";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"98896";"49394";"32";"8.984"
"309";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"98896";"49394";"32";"8.984"
"311";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"98896";"49394";"32";"8.984"
"313";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"104586";"52237";"32";"8.995"
"315";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"104586";"52237";"32";"8.995"
"317";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"104586";"52237";"32";"8.995"
"319";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"104586";"52237";"32";"8.995"
"321";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"104586";"52237";"32";"8.995"
"324";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"112492";"56189";"32";"9.099"
"326";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"112492";"56189";"32";"9.099"
"328";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"112492";"56189";"32";"9.099"
"330";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"112492";"56189";"32";"9.099"
"332";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"112492";"56189";"32";"9.099"
"334";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"123726";"61802";"32";"9.26"
"336";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"123726";"61802";"32";"9.26"
"338";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"123726";"61802";"32";"9.26"
"340";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"123726";"61802";"32";"9.26"
"342";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"123726";"61802";"32";"9.26"
"344";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"131650";"65768";"32";"9.31"
"346";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"131650";"65768";"32";"9.31"
"348";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"131650";"65768";"32";"9.31"
"350";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"131650";"65768";"32";"9.31"
"352";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"131650";"65768";"32";"9.31"
"354";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"139716";"69795";"32";"9.365"
"356";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"139716";"69795";"32";"9.365"
"358";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"139716";"69795";"32";"9.365"
"360";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"139716";"69795";"32";"9.365"
"362";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"139716";"69795";"32";"9.365"
"364";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"150422";"75149";"32";"9.397"
"366";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"150422";"75149";"32";"9.397"
"368";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"150422";"75149";"32";"9.397"
"370";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"150422";"75149";"32";"9.397"
"373";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"150422";"75149";"32";"9.397"
"375";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"158136";"79007";"32";"9.415"
"377";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"158136";"79007";"32";"9.415"
"379";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"158136";"79007";"32";"9.415"
"381";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"158136";"79007";"32";"9.415"
"383";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"158136";"79007";"32";"9.415"
"385";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"166270";"83073";"32";"9.475"
"387";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"166270";"83073";"32";"9.475"
"389";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"166270";"83073";"32";"9.475"
"391";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"166270";"83073";"32";"9.475"
"393";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"166270";"83073";"32";"9.475"
"395";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"178944";"89393";"48";"9.69"
"397";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"178944";"89393";"48";"9.69"
"399";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"178944";"89393";"48";"9.69"
"401";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"178944";"89393";"48";"9.69"
"403";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"178944";"89393";"48";"9.69"
"405";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"188278";"94036";"48";"9.923"
"407";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"188278";"94036";"48";"9.923"
"409";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"188278";"94036";"48";"9.923"
"411";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"188278";"94036";"48";"9.923"
"413";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"188278";"94036";"48";"9.923"
"415";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"197710";"98770";"48";"10.279"
"417";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"197710";"98770";"48";"10.279"
"419";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"197710";"98770";"48";"10.279"
"422";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"197710";"98770";"48";"10.279"
"424";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"197710";"98770";"48";"10.279"
"426";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"211052";"105435";"48";"10.34"
"428";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"211052";"105435";"48";"10.34"
"430";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"211052";"105435";"48";"10.34"
"432";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"211052";"105435";"48";"10.34"
"434";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"211052";"105435";"48";"10.34"
"436";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"219852";"109844";"48";"10.377"
"438";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"219852";"109844";"48";"10.377"
"440";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"219852";"109844";"48";"10.377"
"442";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"219852";"109844";"48";"10.377"
"444";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"219852";"109844";"48";"10.377"
"446";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"229374";"114600";"48";"10.4"
"448";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"229374";"114600";"48";"10.4"
"450";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"229374";"114600";"48";"10.4"
"452";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"229374";"114600";"48";"10.4"
"454";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"229374";"114600";"48";"10.4"
"456";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"242426";"121124";"48";"10.456"
"458";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"242426";"121124";"48";"10.456"
"460";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"242426";"121124";"48";"10.456"
"462";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"242426";"121124";"48";"10.456"
"464";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"252300";"126052";"48";"13.842"
"466";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"252300";"126052";"48";"13.842"
"468";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"252300";"126052";"48";"13.842"
"470";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"252300";"126052";"48";"13.842"
"473";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"252300";"126052";"48";"13.842"
"475";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"262118";"130971";"48";"13.787"
"477";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"262118";"130971";"48";"13.787"
"479";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"262118";"130971";"48";"13.787"
"481";"roland-spg";"6704";"heatwave-1-1467764093";"source";"25";"32";"262118";"130971";"48";"13.787"
