timestamp;nbExecutors;normalized timestamps
70;2;0
72;2;2
74;2;4
76;2;6
78;2;8
132;14;62
134;14;64
137;14;67
139;14;69
141;14;71
143;14;73
148;12;78
150;12;80
152;12;82
215;16;145
218;16;148
220;16;150
223;16;153
225;16;155
228;16;158
230;16;160
232;16;162
234;16;164
236;16;166
238;16;168
241;16;171
243;16;173
245;16;175
248;16;178
250;16;180
252;16;182
255;16;185
257;16;187
259;16;189
261;16;191
263;16;193
265;16;195
267;16;197
269;16;199
272;16;202
274;16;204
276;16;206
278;16;208
280;16;210
282;16;212
284;16;214
286;16;216
288;16;218
290;16;220
293;16;223
295;16;225
297;16;227
299;16;229
301;16;231
304;16;234
306;16;236
308;16;238
311;16;241
313;16;243
315;16;245
317;16;247
319;16;249
321;16;251
323;16;253
326;16;256
328;16;258
330;16;260
332;16;262
334;16;264
336;16;266
338;16;268
340;16;270
342;16;272
344;16;274
347;16;277
349;16;279
351;16;281
353;16;283
355;16;285
357;16;287
359;16;289
361;16;291
363;16;293
365;16;295
368;16;298
370;16;300
372;16;302
374;16;304
376;16;306
378;16;308
380;16;310
382;16;312
384;16;314
386;16;316
389;16;319
391;16;321
396;16;326
398;16;328
402;16;332
404;16;334
406;16;336
408;16;338
410;16;340
412;16;342
414;16;344
416;16;346
419;16;349
421;16;351
423;16;353
425;16;355
427;16;357
429;16;359
431;16;361
433;16;363
435;16;365
437;16;367
439;16;369
442;16;372
444;16;374
446;16;376
448;16;378
450;16;380
452;16;382
454;16;384
456;16;386
458;16;388
460;16;390
463;16;393
465;16;395
467;16;397
469;16;399
471;16;401
473;16;403
475;16;405
477;16;407
479;16;409
481;16;411
483;16;413
486;16;416
488;16;418
490;16;420
492;16;422
494;16;424
496;16;426
498;16;428
500;16;430
502;16;432
504;16;434
506;16;436
509;16;439
511;16;441
513;16;443
515;16;445
517;16;447
519;16;449
521;16;451
523;16;453
525;16;455
527;16;457
529;16;459
532;16;462
534;16;464
536;16;466
538;16;468
540;16;470
542;16;472
544;16;474
546;16;476
548;16;478
550;16;480
552;16;482
555;16;485
557;16;487
559;16;489
561;16;491
563;16;493
565;16;495
567;16;497
569;16;499
571;16;501
573;16;503
576;16;506
578;16;508
580;16;510
582;16;512
584;16;514
586;16;516
588;16;518
590;16;520
592;16;522
594;16;524
596;16;526
598;16;528
601;16;531
603;16;533
605;16;535
607;16;537
609;16;539
611;16;541
613;16;543
615;16;545
617;16;547
619;16;549
621;16;551
623;16;553
626;16;556
628;16;558
630;16;560
632;16;562
634;16;564
636;16;566
638;16;568
640;16;570
642;16;572
644;16;574
646;16;576
648;16;578
650;16;580
653;16;583
655;16;585
657;16;587
659;16;589
661;16;591
663;16;593
665;16;595
667;16;597
669;16;599
671;16;601
673;16;603
675;16;605
677;16;607
680;16;610
682;16;612
684;16;614
686;16;616
688;16;618
690;16;620
692;16;622
694;16;624
696;16;626
698;16;628
700;16;630
703;16;633
705;16;635
707;16;637
709;16;639
711;16;641
713;16;643
715;16;645
717;16;647
719;16;649
721;16;651
723;16;653
725;16;655
728;16;658
730;16;660
732;16;662
734;16;664
736;16;666
738;16;668
740;16;670
742;16;672
744;16;674
746;16;676
748;16;678
750;16;680
752;16;682
755;16;685
757;16;687
759;16;689
761;16;691
763;16;693
