"timestamp";"host";"port";"topology";"component";"start_task";"end_task";"outputs";"throughput";"losses";"complete_ms_avg"
"70";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"6232";"3109";"0";"9.898"
"72";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"6232";"3109";"0";"9.898"
"74";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"6232";"3109";"0";"9.898"
"76";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"6232";"3109";"0";"9.898"
"78";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"6232";"3109";"0";"9.898"
"84";"roland-spg";"6702";"heatwave-1-1467760692";"source";"25";"32";"13620";"6798";"0";"10.145"
"87";"roland-spg";"6702";"heatwave-1-1467760692";"source";"25";"32";"13620";"6798";"0";"10.145"
"89";"roland-spg";"6702";"heatwave-1-1467760692";"source";"25";"32";"13620";"6798";"0";"10.145"
"132";"roland-spg";"6702";"heatwave-1-1467760692";"source";"25";"32";"6391";"3182";"0";"78.673"
"134";"roland-spg";"6702";"heatwave-1-1467760692";"source";"25";"32";"6391";"3182";"0";"78.673"
"137";"roland-spg";"6702";"heatwave-1-1467760692";"source";"25";"32";"6391";"3182";"0";"78.673"
"139";"roland-spg";"6702";"heatwave-1-1467760692";"source";"25";"32";"6391";"3182";"0";"78.673"
"141";"roland-spg";"6702";"heatwave-1-1467760692";"source";"25";"32";"6391";"3182";"0";"78.673"
"143";"roland-spg";"6702";"heatwave-1-1467760692";"source";"25";"32";"14158";"7068";"0";"49.744"
"148";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"14158";"7068";"0";"49.744"
"150";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"14158";"7068";"0";"49.744"
"152";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"14158";"7068";"0";"49.744"
"215";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"6838";"3411";"0";"65.48"
"218";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"6838";"3411";"0";"65.48"
"220";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"6838";"3411";"0";"65.48"
"223";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"6838";"3411";"0";"65.48"
"225";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"6838";"3411";"0";"65.48"
"228";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"15208";"7595";"0";"51.563"
"230";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"15208";"7595";"0";"51.563"
"232";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"15208";"7595";"0";"51.563"
"234";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"15208";"7595";"0";"51.563"
"236";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"24672";"12316";"0";"56.286"
"238";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"24672";"12316";"0";"56.286"
"241";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"24672";"12316";"0";"56.286"
"243";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"24672";"12316";"0";"56.286"
"245";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"24672";"12316";"0";"56.286"
"248";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"32644";"16251";"0";"48.673"
"250";"roland-spg";"6704";"heatwave-1-1467760692";"source";"25";"32";"32644";"16251";"0";"48.673"
