"timestamp";"host";"port";"topology";"component";"start_task";"end_task";"outputs";"throughput";"losses";"complete_ms_avg"
"38";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"68";"28";"0";"13.238"
"40";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"68";"28";"0";"13.238"
"42";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"68";"28";"0";"13.238"
"44";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"68";"28";"0";"13.238"
"46";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"68";"28";"0";"13.238"
"48";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"4810";"2398";"0";"9.792"
"50";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"4810";"2398";"0";"9.792"
"52";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"4810";"2398";"0";"9.792"
"54";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"4810";"2398";"0";"9.792"
"56";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"4810";"2398";"0";"9.792"
"58";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"12178";"6080";"0";"10.438"
"60";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"12178";"6080";"0";"10.438"
"62";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"12178";"6080";"0";"10.438"
"65";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"12178";"6080";"0";"10.438"
"67";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"12178";"6080";"0";"10.438"
"69";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"23318";"11646";"0";"10.31"
"71";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"23318";"11646";"0";"10.31"
"73";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"23318";"11646";"0";"10.31"
"75";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"23318";"11646";"0";"10.31"
"77";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"23318";"11646";"0";"10.31"
"79";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"32690";"16334";"0";"10.286"
"81";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"32690";"16334";"0";"10.286"
"83";"roland-spg";"6704";"heatwave-1-1467761969";"source";"25";"32";"32690";"16334";"0";"10.286"
