"timestamp";"topology";"status"
"1";"heatwave-1-1467761969";"ACTIVE"
"3";"heatwave-1-1467761969";"ACTIVE"
"5";"heatwave-1-1467761969";"ACTIVE"
"7";"heatwave-1-1467761969";"ACTIVE"
"9";"heatwave-1-1467761969";"ACTIVE"
"11";"heatwave-1-1467761969";"ACTIVE"
"13";"heatwave-1-1467761969";"ACTIVE"
"15";"heatwave-1-1467761969";"ACTIVE"
"17";"heatwave-1-1467761969";"ACTIVE"
"19";"heatwave-1-1467761969";"ACTIVE"
"21";"heatwave-1-1467761969";"ACTIVE"
"23";"heatwave-1-1467761969";"ACTIVE"
"25";"heatwave-1-1467761969";"ACTIVE"
"27";"heatwave-1-1467761969";"ACTIVE"
"29";"heatwave-1-1467761969";"ACTIVE"
"32";"heatwave-1-1467761969";"ACTIVE"
"34";"heatwave-1-1467761969";"ACTIVE"
"36";"heatwave-1-1467761969";"ACTIVE"
"38";"heatwave-1-1467761969";"ACTIVE"
"40";"heatwave-1-1467761969";"ACTIVE"
"42";"heatwave-1-1467761969";"ACTIVE"
"44";"heatwave-1-1467761969";"ACTIVE"
"46";"heatwave-1-1467761969";"ACTIVE"
"48";"heatwave-1-1467761969";"ACTIVE"
"50";"heatwave-1-1467761969";"ACTIVE"
"52";"heatwave-1-1467761969";"ACTIVE"
"54";"heatwave-1-1467761969";"ACTIVE"
"56";"heatwave-1-1467761969";"ACTIVE"
"58";"heatwave-1-1467761969";"ACTIVE"
"60";"heatwave-1-1467761969";"ACTIVE"
"62";"heatwave-1-1467761969";"ACTIVE"
"65";"heatwave-1-1467761969";"ACTIVE"
"67";"heatwave-1-1467761969";"ACTIVE"
"69";"heatwave-1-1467761969";"ACTIVE"
"71";"heatwave-1-1467761969";"ACTIVE"
"73";"heatwave-1-1467761969";"ACTIVE"
"75";"heatwave-1-1467761969";"ACTIVE"
"77";"heatwave-1-1467761969";"ACTIVE"
"79";"heatwave-1-1467761969";"ACTIVE"
"81";"heatwave-1-1467761969";"ACTIVE"
"83";"heatwave-1-1467761969";"ACTIVE"
"85";"heatwave-1-1467761969";"ACTIVE"
"87";"heatwave-1-1467761969";"ACTIVE"
"89";"heatwave-1-1467761969";"ACTIVE"
"91";"heatwave-1-1467761969";"ACTIVE"
"93";"heatwave-1-1467761969";"ACTIVE"
"95";"heatwave-1-1467761969";"ACTIVE"
"97";"heatwave-1-1467761969";"ACTIVE"
"99";"heatwave-1-1467761969";"ACTIVE"
"101";"heatwave-1-1467761969";"ACTIVE"
"104";"heatwave-1-1467761969";"ACTIVE"
"106";"heatwave-1-1467761969";"ACTIVE"
"108";"heatwave-1-1467761969";"ACTIVE"
"110";"heatwave-1-1467761969";"ACTIVE"
"112";"heatwave-1-1467761969";"ACTIVE"
"114";"heatwave-1-1467761969";"ACTIVE"
